page,row_index,code,kana,lat,lon,lat_dd,lon_dd
1,1,POINT,,,,,
1,2,ABASA,アバサ,242621.02N,1231508.36E,24.439172222,123.252322222
1,3,ABASI,アバシ,440001.15N,1440833.90E,44.000319444,144.142750000
1,4,ABECK,アベック,325413.48N,1304906.39E,32.903744444,130.818441667
1,5,ABENO,アベノ,343532.43N,1354155.57E,34.592341667,135.698769444
1,6,ABIRA,アビラ,424753.56N,1415751.43E,42.798211111,141.964286111
1,7,ABKMA,アブクマ,370545.41N,1402518.00E,37.095947222,140.421666667
1,8,ABUMI,アブミ,324441.93N,1313533.04E,32.744980556,131.592511111
1,9,ABURA,アブラ,405419.99N,1404028.03E,40.905552778,140.674452778
1,10,ACELA,アセラ,360712.79N,1401919.55E,36.120219444,140.322097222
1,11,ACORD,アコード,253609.89N,1283150.50E,25.602747222,128.530694444
1,12,ACTIE,アクティ,334157.73N,1302914.40E,33.699369444,130.487333333
1,13,ACTOR,アクター,352734.00N,1395025.28E,35.459444444,139.840355556
1,14,ACURE,アキュア,354535.60N,1402732.33E,35.759888889,140.458980556
1,15,ADDAN,アダン,264110.00N,1281829.44E,26.686111111,128.308177778
1,16,ADDUM,アダム,345329.49N,1401420.69E,34.891525000,140.239080556
1,17,ADGIR,アドガー,332336.28N,1330500.20E,33.393411111,133.083388889
1,18,ADGOM,アドゴム,360029.44N,1362312.95E,36.008177778,136.386930556
1,19,ADGOR,アドゴル,402528.88N,1493902.56E,40.424688889,149.650711111
1,20,ADGUN,アドガン,350344.73N,1360117.03E,35.062425000,136.021397222
1,21,ADKAK,アドカック,335412.60N,1420947.90E,33.903500000,142.163305556
2,22,ADKET,アドケット,351554.01N,1392447.88E,35.265002778,139.413300000
2,23,ADKIP,アドキップ,340659.22N,1344340.71E,34.116450000,134.727975000
2,24,ADLEB,アドレブ,352951.75N,1331634.76E,35.497708333,133.276322222
2,25,ADMIG,アドミグ,431445.17N,1433920.20E,43.245880556,143.655611111
2,26,ADMIK,アドミック,245102.90N,1413009.63E,24.850805556,141.502675000
2,27,ADMUB,アドマブ,334059.54N,1302302.92E,33.683205556,130.384144444
2,28,ADNAP,アドナップ,371150.88N,1453958.72E,37.197466667,145.666311111
2,29,ADNOK,アドノック,320234.91N,1302242.41E,32.043030556,130.378447222
2,30,ADPAB,アドパッブ,272115.30N,1284001.78E,27.354250000,128.667161111
2,31,ADPAR,アドパー,331947.99N,1303729.97E,33.329997222,130.624991667
2,32,ADPIN,アドピン,430209.52N,1412934.15E,43.035977778,141.492819444
2,33,ADRAG,アドラッグ,325006.63N,1303550.52E,32.835175000,130.597366667
2,34,ADRIA,アドリア,353056.82N,1403534.30E,35.515783333,140.592861111
2,35,ADTRA,アダトラ,370027.64N,1403420.89E,37.007677778,140.572469444
2,36,AGARI,アガリ,243103.38N,1231125.38E,24.517605556,123.190383333
2,37,AGATA,アガタ,341023.44N,1292747.82E,34.173177778,129.463283333
2,38,AGEDI,アゲディ,441000.00N,1550548.06E,44.166666667,155.096683333
2,39,AGIKA,アギカ,300013.26N,1312627.87E,30.003683333,131.441075000
2,40,AGIMO,アジモ,332636.35N,1381846.36E,33.443430556,138.312877778
2,41,AGNES,アグネス,352449.26N,1395221.84E,35.413683333,139.872733333
2,42,AGOVO,アゴボ,431056.51N,1411731.35E,43.182363889,141.292041667
2,43,AGPUK,アグパック,342908.31N,1360451.30E,34.485641667,136.080916667
2,44,AGRIS,アグリス,362514.70N,1395633.13E,36.420750000,139.942536111
2,45,AGRIT,アグリット,324631.76N,1291848.48E,32.775488889,129.313466667
2,46,AGRUM,アグラム,325043.19N,1325537.62E,32.845330556,132.927116667
2,47,AGSEB,アグセブ,354741.20N,1382508.82E,35.794777778,138.419116667
2,48,AGSUP,アグサップ,341404.14N,1345728.30E,34.234483333,134.957861111
2,49,AIBAR,アイバー,243141.65N,1242239.64E,24.528236111,124.377677778
3,50,AIBIS,アイビス,375735.93N,1385925.16E,37.959980556,138.990322222
3,51,AIDAH,アイダー,352702.93N,1395123.05E,35.450813889,139.856402778
